Texte;Type d'entité
Lafarge;I-PER
procès;O
fureur;O
lépoque;O
manqua;O
damener;O
discussion;I-MISC
violente;O
larrèta;O
regret;O
toutefois;O
jugeait;O
utile;O
qualité;O
futur;O
jurisconsulle;B-LOC
ii;O
sortit;O
piqué;O
Rien;B-PER
surprendre;O
ami;O
père;O
Ro-;I-PER
propos;O
parla;O
Dam-;I-MISC
PT;B-ORG
ri;B-PER
};O
breuse;O
dacquérir;O
domaine;O
Fortelle;B-LOC
Percepteur;B-LOC
lécart;O
Guizot;I-PER
Tous;O
désiraient;O
Benoît;I-PER
sy;O
adroïitemert;O
sinformant;O
parent;O
don-;O
nait;O
nouvelles;O
Navait;B-MISC
arrière-;O
cousin;O
Amérique;B-LOC
cuisinière;O
annonça;O
potage;O
retira;O
discrétion;O
dès;O
quils;O
furent;O
seuls;O
salle;O
basse;I-MISC
Eh;O
vieillard;O
cordialement;O
montrer;O
intentions;O
soupira;O
Où;B-MISC
est-elle;O
présent;O
roulait;O
enveloppée;O
appuyait;O
drap;O
coupé;I-MISC
belle;O
endormie;O
chambres;O
garcon;O
Cygne;B-LOC
Croix;I-LOC
apporta;I-MISC
billet;O
Cest;B-LOC
Deslauriers;B-LOC
a;O
moi;O
camarade;O
ricanement;O
mépris;O
Lheure;I-MISC
est;O
choisie;O
vrai-;O
hesitait;O
lamitié;O
forte;O
sois;O
longtemps;O
Jui;B-LOC
IT;I-PER
"

   
   
 
   
   
  
 
   
   
 
  
   
  
   
  

";O
Charles;B-PER
ligne;O
démissionnaire;O
1818;O
marier;O
Nogent;B-LOC
dot;O
acheté;O
charge;I-MISC
dhuissier;O
suffisant;O
peine;O
Aigri;B-LOC
longues;O
injustices;O
souffrant;O
blessures;O
toujours;O
regrettant;O
lEmpereur;B-MISC
dégor-;O
geait;O
entourage;O
colères;O
létouffaient;O
denfants;O
battus;I-MISC
gamin;O
cédait;O
malgré;O
coups;O
tâchait;O
sinterposer;O
rudoyée;O
Capitaine;B-ORG
étude;O
jour;O
courbé;O
pupitre;O
copier;O
actes;O
rendit;O
lépaule;O
visiblement;O
1833;O
daprès;O
linvitation;O
président;O
vendit;O
mourut;O
cancer;O
Dijon;B-LOC
sétablit;O
mar-;O
chand;I-PER
dhommes;O
Troyes;B-LOC
obtenu;O
demi-bourse;O
douze;O
quinze;O
mille;O
différences;O
carac-;O
tère;O
dorigne;O
séparaient;O
commode;B-PER
sortes;O
provisions;O
recherchées;O
nécessaire;O
toilette;O
aimait;O
tard;O
regarder;O
hirondelles;O
lire;O
pièces;O
théâtre;O
regrellant;O
douceurs;O
rude;O
Ja;B-LOC
om;O
TS;B-ORG
LE;B-MISC
RE;O
Fami;I-MISC
17;O
lhuissier;O
travaillait;O
seconde;O
année;O
passa;O
classe;O
Troisième;I-MISC
pau-;O
vreté;O
humeur;O
querelleuse;O
sourde;O
mal-;O
veillance;I-MISC
lentourait;O
layant;O
appelé;O
gueux;O
pleine;O
Moyens;B-LOC
sauta;O
gorge;O
laurait;O
tué;O
maîtres;O
détudes;O
intervinrent;O
emporté;O
dadmiration;O
serra;O
lintimité;O
complète;O
Laffection;B-MISC
flatta;O
petit;O
accepta;O
dévouement;O
soffrait;O
vacances;O
col-;O
lège;O
traduction;O
Platon;B-PER
ouverte;O
len-;O
thousiasma;O
séprit;O
métaphysiques;O
progrès;O
abordait;O
forces;O
lorgueil;O
intelligence;O
saffranchit;O
Jouffroy;B-PER
Cousin;I-PER
Laromiguière;O
Mal-;B-MISC
lebranche;O
Ecossais;B-LOC
bibliothèque;O
contenait;O
éu;I-MISC
voler;O
clef;O
procurer;O
distractions;O
sérieuses;O
dessina;O
rue;O
Trois-Rois;I-LOC
généalogie;B-MISC
Christ;I-PER
sculptée;O
poteau;O
portail;O
cathédrale;O
Après;O
drames;O
moyen;O
âge;O
entama;O
mémoires;O
Froissart;B-PER
Comines;I-PER
Pierre;B-PER
lEstoile;I-PER
Brantôme;I-PER
images;O
lectures;O
amenaient;O
esprit;I-MISC
lobsédaient;O
reproduire;O
ambitionnait;O
Walter;B-PER
Scott;B-PER
France;B-LOC
méditait;O
vaste;O
sys-;O
tème;O
philosophie;O
applications;O
lointaines;O
causaient;O
récréations;O
linscription;O
morale;O
peinte;O
lhorloge;O
chuchotaient;O
chapelle;O
barbe;O
saint;O
Louis;B-PER
rêvaient;O
dortoir;O
18;O
doù;O
domine;O
cimetière;O
prome-;O
nade;B-PER
rangeaient;O
par-;O
laient;O
interminablement;O
parlaient;O
feraient;O
seraient;O
sortis;O
Dabord;B-LOC
entreprendraient;O
prélèverait;O
fortune;O
majorité;O
reviendraient;O
travailleraient;O
ensemble;O
quitteraient;O
délassement;O
travaux;O
auraient;O
amours;O
princesses;O
boudoirs;O
satin;O
fulgurantes;O
orgies;O
courtisanes;O
illustres;O
doutes;O
emporte-;O
ments;O
despoir;O
crises;O
gaieté;O
verbeuse;O
…;O
tombaient;O
silences;O
profonds;O
dété;O
marché;O
pierreux;O
vignes;O
ousurla;O
blés;O
on-;O
dulaient;O
senteurs;O
dangélique;O
passaient;O
détouffementles;O
prenait;O
sétendaient;O
étourdis;O
enivrés;O
manche;B-LOC
jouaient;O
barres;O
faisaient;O
cerfs;O
volants;O
pion;O
Onsen;B-PER
revenait;O
suivant;O
traversaient;O
ruisseaux;O
boulevards;O
ombragés;O
rues;O
désertes;O
souvrait;O
remontait;O
tristes;O
débauches;O
censeur;O
prétendait;O
sexaltaient;O
mutuel-;O
travailla;O
hau-;O
tes;O
classes;O
exhortations;O
1837;O
lemmena;O
déplut;O
mangea;O
extraordinairement;O
refusa;O
dassister;O
dimanche;O
offices;O
discours;O
républicains;O
erut;I-MISC
conduit;O
lieux;O
deshonnêtes;O
surveilla;I-MISC
relations;O
aimèrent;O
davantage;O
adieux;O
péni-;O
vx;O
19;O
bles;O
lannée;I-MISC
suivante;O
étudier;O
Frédérie;B-LOC
comptait;O
ly;I-MISC
sétaient;O
vus;O
depuis;O
embrassades;O
étant;O
finies;O
allèrent;O
causer;O
laise;O
Villenauxe;B-LOC
fâché;O
rouge;O
lorsque;O
réclamé;O
comptes;O
tutelle;O
pé;O
vivres;O
net;O
concou-;O
rir;O
chaire;O
profes$eur;O
lÉcole;B-MISC
dargent;O
acceptait;O
maître;O
clerc;O
avoué;O
force;O
privations;O
économiserait;O
quatre;O
francs;O
toucher;O
succession;O
maternelle;O
travailler;O
libre-;O
années;O
attendant;O
position;O
fallait;O
abandonner;O
projet;O
Capitale;I-LOC
baissa;O
premier;I-MISC
rêves;O
sécroulait;O
Console;I-MISC
nous;O
sommes;O
te;O
rejoindrai;I-MISC
Ny;B-MISC
pense;O
secouait;O
mains;I-MISC
distraire;O
neut;O
grandchose;O
narrer;O
souvenir;I-MISC
chagrin;O
sévanouit;O
delle;O
retenu;O
pudeur;I-MISC
sétendit;O
revanche;O
rapportant;O
manières;I-MISC
tement;O
cultiver;O
connaissance;O
derniers;O
écrit;O
opinions;O
littéraires;O
changées;O
estimait;O
dessus;O
passion;I-MISC
W;B-LOC
erther;I-PER
René;B-PER
Franck;I-PER
Lara;B-MISC
Lélia;I-MISC
médiocres;O
lenthousias-;O
maient;O
également;O
"

 

";O
20;O
capable;O
dexprimer;O
troubles;O
intérieurs;O
rêvait;O
symphonies;O
lappréhendait;O
peindre;O
composé;O
trouva;O
beaux;O
demander;O
pièce;O
Quant;O
métaphysi-;O
Léconome;B-LOC
sociale;O
Révolution;B-MISC
française;O
préoccupaient;O
diable;O
vingt-deux;O
maigre;O
