Texte;Type d'entité
regagnantsa;O
province;O
roulte;O
plus;O
lon-;O
gue;O
tumulle;O
sapaisait;O
tous;O
avaient;O
leur;O
place;O
quelques-uns;O
debout;O
chauffaient;O
autour;O
ma-;O
chine;O
ln;O
chemine;O
crachait;O
rle;O
lent;O
rythmique;O
panache;O
fume;O
noire;O
goutte-;O
lettes;O
rose;O
coulaient;O
sur;O
cuivres;O
pont;O
trem-;O
blait;O
une;O
petite;O
vihralion;O
interieure;O
roues;O
tournant;O
rapidement;O
battaiecnt;O
leau;O
La;O
rivibre;O
tait;O
horde;O
grves;O
sable;I-MISC
On;O
rencontrait;O
ldes;O
trains;O
bois;I-MISC
mettaient;O
ondu-;O
ler;O
remous;I-MISC
vagues;O
ou;O
bien;O
bateau;I-MISC
voiles;O
assis;O
pchait;O
brumes;O
errantes;O
fonlirent;O
soleil;O
parut;O
colline;O
sui-;O
vait;O
h;O
lroite;O
cours;O
Seine;I-PER
peu;O
sabaissa;O
surgit;O
autre;I-MISC
proche;O
rive;O
op-;O
posee;O
arbres;I-MISC
couronnaicnt;O
parmi;O
maisons;I-LOC
bas-;O
ses;O
couvertes;O
toits;O
litalienne;O
Eles;O
jardins;O
pente;O
divisient;O
murs;O
neufs;O
grilles;O
fer;O
gazons;O
serres;O
chaudes;O
vuses;O
geraniums;O
espaces;O
rigulirement;O
ter-;O
rasses;O
pouvait;O
saccouder;O
Plus;O
dun;O
aper-;O
cevant;O
ces;O
coquettes;O
rsidences;O
si;O
lranquilles;O
enviait;O
len;O
etre;O
propritaire;O
vivre;O
l;O
jusqu;O
fin;O
jours;O
bon;I-ORG
billard;O
chuloupe;O
L;B-ORG
in;O
UCATI0N;O
SENTIMEN;I-PER
TALE;O
femme;O
quelque;O
reve;O
plaisir;O
nouveau;O
excursion;I-MISC
maritime;O
facilitait;O
epanchements;O
Dej;B-PER
farceurs;O
commencaient;O
leurs;O
plaisanteries;O
Beaucoup;O
chantaient;O
gai;O
versait;O
petits;O
verres;O
Fredric;B-PER
pensait;O
chambre;O
quil;O
occuperait;O
bas;O
plan;O
drame;O
sujets;O
tableaux;O
passions;O
futures;O
trouvait;O
bonheur;I-MISC
mrite;O
lexcellence;O
ime;O
tardait;O
venir;O
dclama;O
vcrs;O
mlancoliques;O
marchait;O
rapides;O
savanca;O
jusquau;O
bout;O
c0te;O
clo-;O
che-;O
cercle;O
passagers;O
vit;O
monsieur;O
contait;O
galanteries;O
paysanne;O
maniant;O
croix;O
dor;O
quelle;O
por-;O
poitrine;O
Cetait;B-PER
gaillard;B-PER
quaran-;O
taine;B-PER
dannees;O
crpus;O
taille;O
robuste;O
emplissait;O
jaquette;O
velours;O
noir;O
eme-;O
raudes;O
brillaient;O
sa;O
chemise;O
batiste;O
large;O
pantalon;O
blanc;O
tombait;O
detranges;O
boltes;O
rouges;O
cuir;O
Russie;B-LOC
rehaussees;O
dessins;O
bleus;O
presence;B-ORG
Frelric;B-PER
derangea;O
tourna;O
plusieurs;O
fois;O
linterpellant;O
clins;O
deil;O
ensuite;O
olfrit;O
cigares;O
ceux;O
lentouraient;O
Mais;O
ennuye;O
cette;O
compagnie;O
doute;O
alla;O
meltre;O
loin;O
Frd6ric;B-MISC
suivit;O
conversation;O
roula;O
dabord;O
diffrentes;O
es-;O
peces;O
tabacs;O
toul;O
naturellement;O
fem-;O
mes;O
bottes;O
donna;O
conseils;O
exposait;O
theories;O
narrait;O
anecdotes;O
citait;O
mme;O
exemple;O
dbitant;O
cela;O
ton;O
paterne;O
ingenuite;O
cor-;O
ruption;O
divertissante;O
rpublicain;O
avait;O
voyage;O
connaissait;O
linterieur;O
theitres;O
restaurants;O
journaux;O
artistes;O
celbbres;O
appelait;O
familire-;O
ment;O
lcurs;O
prnoms;O
Frleric;B-PER
confia;O
projes;O
encouragea;O
fEDUCAII0N;O
sENTIME;O
NTALE;B-ORG
l--;B-LOC
sinterrompit;O
observer;O
tuyau;O
cheminee;O
marmotta;O
vite;O
long;O
calcul;O
afin;O
savoir;O
combien;O
chaque;O
piston;O
tant;O
minute;O
etc;O
lt;O
trouvee;O
admira;O
beaucoup;O
paysage;O
disait;O
heureux;O
detre;O
echappe;O
aux;O
affaires;O
Frderic;B-PER
prouvait;O
certain;O
respect;O
resista;O
lenvie;O
nom;O
Linconnu;B-MISC
re-;O
pondit;O
haleine;O
Jacques;B-PER
Arnoux;I-PER
IArt;O
industriel;O
boulevard;O
Montmartre;I-LOC
domestique;O
ayant;O
galon;O
casquette;O
vint;O
dire;O
Si;O
Monsieur;B-PER
voulait;O
descendre;O
Mademoiselle;O
pleure;O
disparut;O
LArt;I-MISC
idustvriel;I-MISC
6tuit;O
etablissement;O
hybride;O
com-;O
prenant;O
journal;O
peinture;O
cet;O
magasin;O
ta-;O
bleaux;O
Freleric;B-PER
vu;O
ce;O
titre;O
lh;O
plusiceurs;O
letalage;O
lu;I-LOC
libraire;O
pys;O
natal;O
dimmenses;O
prospectus;O
oii;I-MISC
Jacqutes;B-ORG
develop-;O
magistrulemnent;O
darlait;O
daplomb;O
fuisant;O
reluire;O
ga-;O
billots;O
aultour;O
mats;O
d;O
bastin-;O
gage;O
surface;O
coupait;O
proue;O
sillons;O
deroulaient;O
bord;O
prairics;O
detour;O
riviere;O
relrouvait;O
meme;O
rideau;O
peuplicrs;O
ples;O
cmpgne;I-LOC
toute;O
vide;O
lly;O
ciel;O
nuages;I-MISC
blancs;O
arretes;O
lennui;O
vuguement;O
repandu;O
semblait;O
alunguir;O
marche;O
rendre;O
laspect;O
voyageurs;O
insigniliant;O
encore;O
part;O
quelques;I-MISC
bourgeois;I-MISC
Premibres;B-LOC
cetaient;O
ouvricrs;O
boutique;O
femmes;O
enfants;O
Cmme;O
coutume;O
alors;O
vetir;O
sordidement;O
voy1ge;B-MISC
prcsque;O
ous;O
portaient;O
vieilles;O
calottes;O
grecques;O
chiapcuux;O
delcints;O
m;O
1-;O
iUCAIoN;B-MISC
SEN1E;O
NTLE;B-MISC
maigres;O
habits;O
noirs;O
rps;O
frottemcut;O
bureau;O
redingoles;O
ournt;O
capsule;O
boutons;O
avoir;O
trop;O
servi;O
c;O
ct;O
quclque;O
gilet;O
chile;O
laissait;O
chcmise;O
cali-;O
cot;O
maculee;O
cafe;O
pingles;O
chrysocale;O
pi-;O
quaient;O
cravates;O
lambeaux;O
sous-pieds;O
cou-;O
sus;O
retenaicnt;O
chaussons;O
lisire;O
trois;O
gredins;O
tenaient;O
bambous;O
gance;O
lan-;O
caient;O
regards;O
obliques;O
pres;O
famille;O
ou-;O
vraient;O
yeux;O
faisant;O
questions;O
Ils;O
cau-;O
saient;O
bicn;O
accroupis;I-PER
bagages;O
dautres;O
dormaient;O
coins;O
man-;O
geaient;O
eait;O
sali;O
pr;O
cales;O
noix;O
bouts;O
pelures;O
poires;I-MISC
dcs;O
dtritus;O
charcuterie;O
apporte;O
papier;O
benistes;O
blouse;O
stationnaient;O
cantine;O
joueur;O
harpe;O
haillons;O
reposait;O
accoude;O
ins-;O
trument;O
entendait;O
intervalles;O
bruit;O
char-;O
terre;O
fourneau;O
eclat;O
voix;O
rire;O
capitaine;O
passerelle;O
marchit;O
tambour;O
lautre;B-LOC
sarreter;O
rejoin-;O
dre;O
grille;O
Premires;B-MISC
drangea;O
ccct;O
Elle;I-PER
assise;O
milieu;O
banc;O
seule;O
moins;O
distingua;O
leblouisse-;O
cnvoylrent;O
En;O
temps;O
passait;O
levu;O
tte;O
flchit;O
involontaire-;O
cpaules;O
quand;O
fut;O
mis;O
c0t6;O
regarda;O
chapeau;O
paille;I-MISC
ru-;O
bans;O
roses;O
plpitaicnt;O
vent;O
derribre;O
Ses;B-PER
bandeaux;O
contournant;O
pointe;O
dce;O
grands;O
sourcils;O
descendaient;O
trs;O
semblaient;O
presser;O
amoucusement;O
lovale;O
ligure;O
robe;O
mous-;O
seline;O
claire;O
tachetee;O
petils;O
pois;O
repandait;O
plis;O
nombreux;O
train;O
broder;O
quelquoIinUcTIo0N;B-PER
sENTIMIENTAILE;B-ORG
chose;O
nez;O
menton;O
decoupait;O
iond;O
lair;I-PER
bleu;O
Commc;B-LOC
gardait;O
attitude;O
fit;O
tours;O
droite;O
gauche;O
dissimuler;O
nuvre;O
planta;O
prs;O
ombrelle;O
contre;O
affectait;O
dobserver;O
cha-;O
loupe;O
rivire;O
Jamais;O
navait;O
splendeur;O
peau;O
brune;O
seduction;O
ni;O
inesse;O
doigts;O
lumibre;O
traversait;O
ll;O
consilerait;O
panier;O
ouVrage;B-PER
ebahissement;O
extraor-;O
dinaire;O
Quels;O
ctaient;O
demeure;O
vie;O
passe;O
souhaitait;O
connaitre;O
meubles;O
toutes;O
robes;O
portees;O
frequentait;O
desir;O
possession;O
physique;O
disparaissait;O
envie;O
pro-;O
ionde;O
curiosite;O
douloureuse;O
limites;O
Une;B-MISC
negresse;O
coiffee;O
foulard;O
presenta;O
tenant;O
main;O
fille;O
dejh;O
grande;I-MISC
Len-;O
fant;O
roulaient;O
larmes;O
venait;O
seveiller;O
prit;O
genoux;O
n6tait;O
sag;O
quoiquclle;O
sept;O
bient0;B-MISC
t;O
laimnerait;O
pardonnait;O
caprices;O
n;O
Et;O
Fr6lric;B-PER
rjouissait;O
dentendre;O
choses;O
sil;O
fait;O
decouverte;O
acqui-;O
sition;O
supposait;O
dorigine;O
andalouse;O
crdole;O
peut;O
ramene;O
iles;O
Cependant;O
bandes;O
violettes;O
derrire;O
dos;O
bordage;O
cuivre;O
mer;B-LOC
durant;O
soirs;O
humides;O
envelopper;O
vrir;O
pieds;O
dormir;O
dedansl;O
entraine;O
franges;I-MISC
glissait;O
allait;O
tomber;O
Frerie;B-LOC
ratrap;O
i-;I-LOC
inCATION;O
SENTIMTENTAILE;B-ORG
Je;O
uIS;I-MISC
me1Cic;O
monsieti;O
leuIs;O
yex;O
rencontrbrent;O
es;O
tu;O
prcte;O
o;O
cria;O
sieur;O
nppuraissant;O
capol;O
lescalier;O
Mlle;B-PER
Marthe;B-MISC
courut;O
cramponne;O
cou;O
tirait;O
moustaches;O
lLes;B-MISC
sons;I-MISC
etentirent;O
voulut;O
musique;O
bient0l;B-MISC
dinstrumcnlt;O
amen;O
cntra;O
lPemires;B-MISC
Arnou;I-PER
reconntt;O
ncicn;O
mnolle;O
tutoya;O
surprit;O
aussistants;O
En-;O
harpiste;O
rejela;O
derriibre;O
paulcs;O
tendit;O
mit;O
jouer;O
romancc;O
orientale;O
tit;O
question;O
ie;O
poignards;O
lus;O
ltoile;B-PER
lhomme;O
chantail;O
cellune;O
morlnte;O
htlements;O
machine;O
coupaient;O
mlodie;O
fusse;O
mesure;O
pincait;O
fort;O
corles;O
vihraicnt;O
mtalliques;O
semblaicntexhalerles;O
sanglols;O
plainte;O
mour;O
orgueilleux;O
vaincu;O
cts;O
riviire;I-MISC
hois;O
sineclinaient;O
juquau;O
courant;O
dair;O
frais;O
Mlme;B-PER
Anoux;I-PER
regrlait;O
mniire;O
vaggute;O
Quand;O
musi-;O
srreta;O
remua;O
pupircs;O
sortait;O
songe;I-MISC
lLe;O
sapprocha;O
deuix;I-PER
hmblement;O
Penlant;O
quArnoux;B-MISC
cherehait;O
monnaie;O
lFlric;B-MISC
allongea;O
casqtette;O
ferme;O
el;O
louvrant;O
avtetc;O
pu-;O
deur;O
y;O
dposa;O
louis;B-MISC
Ce;O
vanit;O
tqui;O
poussait;O
aumne;O
levant;O
mais;O
pense;O
binediction;O
lssociait;O
tn;O
mouve-;O
cuur;O
plresqte;O
rcligicux;O
montrant;O
chemin;O
lengagea;O
corlia-;O
lement;O
descenlre;O
rlric;B-MISC
uflirma;I-MISC
uil;O
dejcuner;O
nourait;O
faim;O
contraire;I-MISC
possdait;O
centime;O
fonl;O
hourse;O
lnsuite;O
songeauil;O
hien;I-PER
tenir;O
chmbre10;O
EDC;I-PER
CATI0N;O
SENTIMIENTALE;O
Autour;B-MISC
tables;O
rondes;O
mangeaient;O
gargon;I-MISC
circulait;O
Mme;B-PER
etaient;O
fond;O
sassit;O
longue;O
ban-;O
e;O
eeeeeeeeiee;O
devaient;O
Montereau;I-MISC
prendre;O
diligence;O
Chlons;B-MISC
Leur;O
Suisse;I-MISC
durerait;O
blima;O
mari;O
faiblesse;O
enfant;O
chuchota;O
oreille;O
gracieusete;O
car;O
sourit;O
Puis;O
fermer;O
fenclre;O
plafond;O
rabattait;O
lumire;O
crue;O
face;O
distinguait;O
lombre;O
cils;O
trempait;O
lbvres;O
verre;O
cassait;O
croute;O
medaillon;O
lapis-;O
lazuli;O
attache;O
chainette;O
poignet;O
sonnait;O
assiette;O
Ceux;B-MISC
taient;O
pourtnt;O
navaient;O
marquer;O
Quelquelois;B-LOC
hublots;O
voyait;O
glisser;O
flanc;O
barque;O
accostait;O
navire;O
dposer;O
Les;O
attabls;I-MISC
pen-;O
chaient;O
ouvertures;O
nommaient;O
pays;O
riverains;O
plaignait;O
cuisine;O
recria;O
consi-;O
derablement;O
laddlition;O
reduire;O
emmena;O
boire;O
grogs;O
retourna;O
tente;O
revenue;O
lisait;O
mince;O
volume;O
couverture;O
grise;O
bouche;O
relevaient;O
toments;O
eclair;O
illuminait;O
Iiront;B-MISC
jalousa;O
celui;O
invente;O
paraissait;O
occupee;I-MISC
contemplail;O
sentait;O
cntre;O
crcuser;O
ablmes;O
songeait;O
faudrait;O
quitter;O
lheure;O
irrevocablement;O
sns;O
arrach;B-PER
unc;O
parole;O
laisser;O
mncme;O
sou-;O
g;O
iUCAT10N;I-MISC
SE;I-MISC
NIMIENI;I-MISC
plaine;O
stenlait;O
droitc;O
herbagc;O
doucement;O
rejoinlre;O
aperce-;O
vignobles;O
noyers;O
moulin;I-MISC
ver-;O
dure;O
chemins;O
delh;O
formant;O
zig-;O
zags;O
roche;O
blanche;O
touchait;O
Quel;B-MISC
monter;O
cte;B-LOC
balaycrait;O
feuilles;O
jaunies;O
ecoutant;O
rayonnemcnt;O
yeuxl;O
batcau;O
sarrtter;O
ils;O
quh;O
simple;O
ntait;O
ps;B-ORG
facile;O
cependant;O
remuer;O
pcu;O
dcouvrit;O
chteau;O
i;O
toit;O
pointu;O
tourelles;O
carrees;O
parterre;B-LOC
fleurs;O
setalait;O
facade;O
avenues;O
senfoncaient;O
vohtes;O
noires;O
hauts;O
tilleuls;O
ligrura;O
passant;O
charmilles;O
mo-;O
mcnt;O
jcune;O
danme;O
montr-;O
rent;O
perron;I-MISC
entrc;O
caisses;O
dorangers;O
jouait;O
Fred6ric;B-PER
baiser;O
cacha;O
bonne;O
gronda;O
nttre;O
aimable;O
monsicur;O
sauve;O
chale;I-MISC
ktait;O
-ce;O
ouverture;O
indireclte;O
Va;B-MISC
-t;I-MISC
-elle;O
enfin;O
me;O
parler;I-MISC
demandait;O
-il;O
pressait;O
Commecnt;B-PER
obtenir;O
invitation;O
chez;O
nimagina;O
rien;O
mieux;O
remarquer;O
couleur;O
lautomne;O
ajou-;O
Voil;O
lhiver;O
saison;O
bals;O
dineso;O
occupe;O
bagges;O
Surville;I-MISC
apparut;O
ponts;O
sc;O
rappro-;O
chaicnt;O
longca;O
corlerie;O
rangee;O
basses;O
cn;O
lessous;O
mrmites;O
goudron;O
eclatsle;O
gamins;O
couraient;O
sble;O
roue;O
Frlric;B-PER
rcconnut;O
munches;O
cria12;O
ED;B-ORG
UCA;I-PER
TI0;I-MISC
N;O
SENTIMENTALE;I-ORG
Dpeche;O
toi;O
J;I-MISC
cccI;I-LOC
Au;O
cher;O
envoya;O
gard;O
tche;O
ame;O
net;O
demeura;O
egard;O
salutations;O
Pourquoi;O
nas;O
amene;O
voiture;O
jus-;O
quici;O
bonhomme;O
sexcusait;O
maladroitl;O
Donne;O
-moi;I-MISC
largentl;O
manger;O
auberge;O
quart;O
dheure;O
aprks;O
eut;O
dentrer;O
hasard;O
cour;O
diligences;O
verrait;O
quoi;O
bon`n;B-LOC
dit;O
lamericaine;O
lemporta;O
dcux;O
chevaux;O
nap-;O
partenaient;O
mere;O
emprunte;O
Chambrion;B-MISC
receveur;O
latteler;O
auprbs;O
sien;O
Isidore;B-PER
parti;O
stait;O
repose;O
Bray;I-LOC
quau;O
soir;O
couch;O
betes;O
rafraichies;O
trottuient;O
lestement;O
champs;O
moissonnes;O
prlongeaient;O
nen;O
finir;O
Deux;O
lignes;O
darbres;I-MISC
bordaient;O
route;O
tas;O
cailloux;O
succedaient;O
Villeneuve-Saint-;B-MISC
Georges;O
Ablon;O
Chitillon;O
Corbeil;B-LOC
autres;O
revint;O
mimoire;O
fagcon;O
ette;O
listinguait;O
maintenant;O
details;O
nouveaux;O
particularits;O
intimes;O
volant;O
lde;I-MISC
s;O
pied;O
botline;O
soie;O
marron;O
coutil;O
formait;O
lrge;O
dais;O
glands;O
borlure;O
tremblaient;O
brise;O
perpeltuellement;O
llle;O
ressemblait;O
Icmnmes;B-ORG
livres;O
romantiques;O
];O
IILiEn;O
UcAII0;O
SENIMIE;O
N1ALE;I-MISC
13;O
naurait;O
voulu;O
ajouter;O
ricn;O
retrancher;O
per-;O
sonne;O
Lunivers;B-LOC
selargir;O
point;O
lumineux;I-MISC
lensemble;O
vergeait;O
berce;O
mouvement;O
paupieres;O
demi;O
closes;O
regard;O
sabandonnait;O
joie;O
rtveuse;O
infinie;O
nattendit;O
quon;O
donne;O
lavoine;O
seul;O
luvait;O
appelee;O
Marie;B-PER
laut;O
perdit;O
pourpre;O
enllammait;O
cicl;O
loccident;O
De;O
grosses;O
meules;O
ble;O
levaicnt;O
chaumes;O
pojelaient;O
ombres;O
geantes;O
chien;O
aboyer;O
ldans;O
frissonnla;O
iquietude;O
caulse;O
1sidore;O
leult;B-PER
rcjoint;O
plaga;O
siige;O
conduire;O
Se;O
defaillunce;O
passee;O
esolu;O
sintroduire;O
nimporte;O
comment;O
A-;O
noux;I-PER
lier;O
cux;O
maison;O
uamusante;O
plaisait;O
dailleurs;O
sait;O
Alors;O
llot;O
sang;O
monta;O
visage;O
tempes;O
bourdonnaient;O
claquer;O
fouet;O
secoua;O
renes;O
menait;O
cevaux;O
tcl;O
vieux;I-MISC
cocler;O
repetait;O
Doucement;B-LOC
vous;O
rendrez;O
poussifs;O
Peu;O
calma;O
ecoul;O
allendait;O
impalience;O
Louise;B-PER
plcure;O
vilure;O
Quest;O
donc;O
Mllle;B-PER
pctite;O
MI;B-MISC
lloque;O
savez;O
Ah;O
joubliais;O
repliqua;O
Frederie;B-PER
negligcm-;O
Ient;B-MISC
Cependnt;O
chcvaux;O
pouvaient;O
lls;O
boitaient;O
lun;O
neuf;O
leures;O
sonnaient;O
Saint-Laurent;B-PER
lorsquil;B-PER
arriva;O
dArmes1;O
1MUCAII0N;O
SENTIMIE;I-MISC
NTAL;B-MISC
E;B-LOC
Cette;O
spacieusc;O
jurlin;O
donnant;O
campagne;O
ajoutait;O
consideration;O
MIoreau;I-PER
respecte;O
vieille;O
gentilshommes;O
etcinte;O
Son;O
plbeien;O
parents;O
epouser;O
mort;O
d6epe;O
grossesse;O
laissant;O
for-;O
tune;O
compromise;O
recevait;O
semaine;O
donnait;O
beau;O
diner;O
nom-;I-MISC
bre;O
bougies;O
calcule;I-MISC
davance;O
attendait;O
impatiemment;O
fermages;O
gtene;O
dissimulee;O
vice;O
rendait;O
serieuse;O
vertu;O
sexercait;O
etalage;O
pruderie;O
aigreur;O
moindres;O
charites;O
grandes;O
aumnes;O
consultait;O
choix;O
lomestiques;O
lduca-;O
jeunes;O
filles;O
lart;O
confitures;O
Monsei-;B-MISC
gneur;O
descendit;O
chezelle;O
tournes;O
episcopales;O
nourrissait;O
hute;O
ambition;O
fils;O
lElle;B-LOC
nimnait;O
entendre;O
hlmer;O
Gou-;B-ORG
vernement;O
sorte;O
prudence;O
anticipe;O
aurait;O
besoin;O
prolections;O
dubord;O
piis;B-PER
grice;O
moyens;O
devienlrait;O
conseiller;O
dEtat;O
amnbas-;O
sadeur;O
ministre;O
triomphes;I-MISC
collige;O
Sens;B-LOC
lgitimaient;O
orgueil;O
remporti;O
prix;O
dhonnceur;O
entradns;O
salon;O
levrent;O
lembrassa;O
aec;O
fauteuils;I-MISC
chai-;O
iit;O
demni;O
cheminde;O
umblin;O
demanda;O
imnmeliatement;O
opinion;O
Lafarge;I-PER
procis;O
fureur;O
lepoque;O
manqua;O
damener;O
liscussion;O
violente;O
larrtta;O
regret;O
toutefois;O
Gamblin;I-PER
jugeait;O
utile;O
pourle;O
qualit;O
futur;O
jurisconsulle;B-LOC
ii;O
sortit;O
sulon;B-LOC
piqtue;O
lticn;B-PER
surprendre;O
ami;O
pre;O
lo-;O
propos;O
pire;O
loque;I-PER
parla;O
Dam-;I-MISC
--ll;O
a]y;B-ORG
IIiEDUCATI0N;I-MISC
sENTIMIENTALE;O
15;O
breuse;O
dacquerir;O
domaine;O
Fortelle;B-LOC
Percepteur;B-LOC
lecurt;I-PER
ouvrage;O
Guizot;I-PER
Tous;O
desiraient;O
connuitre;O
alfaires;O
Benolt;I-PER
sy;O
adroitemerit;O
sinformant;O
Comment;O
parent;O
don-;O
nait;O
nouvelles;O
Navait;B-MISC
arrire-;O
cousin;O
Amerique;B-PER
cuisiniere;I-PER
annonca;O
polage;O
retira;O
discretion;O
ds;B-MISC
quils;O
furent;O
seuls;O
salle;O
basse;O
Eh;O
vieillard;O
recu;O
tris;O
corlialement;O
montrer;O
intentions;O
soupira;O
Oi;O
est-elle;O
present;O
roulait;O
enveloppee;O
appuyait;O
drap;O
coupe;O
belle;O
tete;O
endormie;O
chambres;O
garcon;O
Cygne;B-LOC
Cvroiz;O
apporta;I-MISC
billet;O
" 
";O
Cest;B-LOC
Deslauriers;B-LOC
moi;O
Ahl;O
camarade;O
ricanement;O
mepris;B-LOC
Lhcure;B-LOC
est;O
choisie;O
rai-;O
hesitait;O
lamitie;O
forte;O
sois;O
longtempsl;B-PER
mreLe;O
Charles;O
ancien;O
ligne;O
demissionnaire;O
1818;O
6tait;O
marier;O
Nogent;B-LOC
largent;O
dot;O
achete;O
charge;O
dhuissier;O
suffisant;O
peine;O
Aigri;B-LOC
longues;O
injustices;O
souffrant;O
blessures;O
toujours;O
regrettant;O
lEmpereur;B-MISC
dgor-;O
geait;O
entourage;O
colres;O
letouffaient;O
denfants;O
hattus;O
gamin;O
cdait;O
malgre;O
coups;O
mlre;O
qand;O
tachait;O
sinterposer;O
rudoye;O
Capitaine;B-ORG
lce;I-ORG
placadans;O
tude;O
jour;O
courhe;O
pupitre;O
copier;O
actes;O
rendit;O
lpaule;O
visiblement;O
1833;O
aprs;O
linvitation;O
prsident;O
venlit;O
tmle;O
mourut;I-MISC
cancer;I-MISC
bDijon;B-MISC
setablit;O
mar-;O
chand;I-PER
dhommes;O
Troyes;B-LOC
obtenu;O
lemi;O
bourse;O
collge;O
reconnut;O
douze;O
quinze;O
mille;O
differences;O
carac-;O
tre;O
dorigne;O
sparaient;O
possedait;O
commode;O
sortes;O
provisions;O
recherchees;O
necessaire;O
toilettec;O
aimait;O
tard;O
regarler;O
lcs;O
hirondelles;O
lire;O
pibccs;O
thditre;O
egrettant;O
louceurs;O
rude;O
collbge;O
IinUcATION;I-ORG
SENTIMINTAILE;O
7;O
lhuissier;O
travaillait;O
qulau;O
seconde;O
anne;B-PER
pass;O
classe;O
Troisibme;B-LOC
cause;O
pau-;O
vrete;O
humeur;O
querelleuse;O
sourde;O
mal-;O
veillance;O
lentourait;O
layant;O
appele;O
enlant;O
gueux;O
pleine;O
Moyens;B-LOC
sauta;O
gorge;O
etlaurait;O
maitres;O
dtudes;O
intervinrent;O
emport6;O
dadmiration;O
serra;O
lintimite;O
complte;O
Laffection;B-LOC
gand;B-LOC
flatta;O
petit;O
accepta;O
douement;O
solfrait;O
pbre;O
vacances;O
col-;O
lge;O
traduction;O
Platon;B-PER
ouverte;O
len-;O
thousiasma;O
sprit;O
ltuldes;O
mtaphysiques;O
progrs;O
rapidces;O
aborlait;O
forces;O
lorgueil;O
inlelligence;O
saffranehit;O
Jouffroy;B-PER
Cousin;I-PER
ILaromiguire;B-MISC
Maul-;O
lebranche;O
IEcossais;B-MISC
bibliothiquc;O
contenait;O
passa;O
eu;O
den;B-PER
voler;O
clef;O
procurer;O
distractions;O
Fr6lic;O
serieuses;O
dessina;O
rue;B-LOC
Irois;I-LOC
llois;I-LOC
gnealogic;O
Christ;I-PER
sculpte;O
poteau;O
porlail;O
cathedrale;O
Aprb;B-PER
drames;O
moyen;O
ige;O
entama;O
memoires;O
roissart;O
Comines;B-LOC
Pierre;B-PER
lEstoile;I-PER
Brantme;I-PER
images;O
lectures;O
amenuicnt;O
esprit;I-MISC
lobsedaient;O
eprouvait;O
reproduire;O
ambitionnait;O
ltre;O
WVnlter;B-MISC
Scott;B-PER
France;B-LOC
mditit;O
vaste;O
sys-;O
tme;O
philosophie;O
applicalions;O
lointaines;O
causaicnt;O
rcrations;O
linscription;O
morale;O
peinlte;O
lhorloge;O
chucholaient;O
chapelle;O
barbe;O
saint;B-PER
Louis;I-PER
rtvuicnt;O
dortoir18;O
iUCATI0N;O
doi;O
domine;O
cimetire;O
prome-;O
nade;B-PER
rangeaient;O
